name,species,height,weight,hp,attack,defence,sp_attack,sp_defence,speed,type1,type2,ability1,ability2,hidden_ability,pokedex,genus,capture_rate,color,shape,is_baby,is_legendary,is_mythical,generation,egg_group1,egg_group2,is_mega
tauros-paldea-blaze-breed,tauros,14,850,75,110,105,30,70,100,fighting,fire,intimidate,anger-point,cud-chew,128,,45,brown,,False,False,False,1,ground,,False
tauros-paldea-combat-breed,tauros,14,1150,75,110,105,30,70,100,fighting,,intimidate,anger-point,cud-chew,128,,45,brown,,False,False,False,1,ground,,False
magikarp,magikarp,9,100,20,10,55,15,20,80,water,,swift-swim,rattled,,129,,255,red,,False,False,False,1,water2,dragon,False
gyarados,gyarados,65,2350,95,125,79,60,100,81,water,flying,intimidate,moxie,,130,,45,blue,,False,False,False,1,water2,dragon,False
gyarados-mega,gyarados,65,3050,95,155,109,70,130,81,water,dark,mold-breaker,,,130,,45,blue,,False,False,False,1,water2,dragon,True
lapras,lapras,25,2200,130,85,80,85,95,60,water,ice,water-absorb,shell-armor,hydration,131,,45,blue,,False,False,False,1,monster,water1,False
lapras-gmax,lapras,240,10000,130,85,80,85,95,60,water,ice,water-absorb,shell-armor,hydration,131,,45,blue,,False,False,False,1,monster,water1,False
ditto,ditto,3,40,48,48,48,48,48,48,normal,,limber,imposter,,132,,35,purple,,False,False,False,1,ditto,,False
eevee,eevee,3,65,55,55,50,45,65,55,normal,,run-away,adaptability,anticipation,133,,45,brown,,False,False,False,1,ground,,False
eevee-gmax,eevee,180,10000,55,55,50,45,65,55,normal,,run-away,adaptability,anticipation,133,,45,brown,,False,False,False,1,ground,,False
eevee-starter,eevee,3,65,65,75,70,65,85,75,normal,,run-away,adaptability,anticipation,133,,45,brown,,False,False,False,1,ground,,False
vaporeon,vaporeon,10,290,130,65,60,110,95,65,water,,water-absorb,hydration,,134,,45,blue,,False,False,False,1,ground,,False
jolteon,jolteon,8,245,65,65,60,110,95,130,electric,,volt-absorb,quick-feet,,135,,45,yellow,,False,False,False,1,ground,,False
flareon,flareon,9,250,65,130,60,95,110,65,fire,,flash-fire,guts,,136,,45,red,,False,False,False,1,ground,,False
porygon,porygon,8,365,65,60,70,85,75,40,normal,,trace,download,analytic,137,,45,pink,,False,False,False,1,mineral,,False
omanyte,omanyte,4,75,35,40,100,90,55,35,rock,water,swift-swim,shell-armor,weak-armor,138,,45,blue,,False,False,False,1,water1,water3,False
omastar,omastar,10,350,70,60,125,115,70,55,rock,water,swift-swim,shell-armor,weak-armor,139,,45,blue,,False,False,False,1,water1,water3,False
kabuto,kabuto,5,115,30,80,90,55,45,55,rock,water,swift-swim,battle-armor,weak-armor,140,,45,brown,,False,False,False,1,water1,water3,False
kabutops,kabutops,13,405,60,115,105,65,70,80,rock,water,swift-swim,battle-armor,weak-armor,141,,45,brown,,False,False,False,1,water1,water3,False
aerodactyl,aerodactyl,18,590,80,105,65,60,75,130,rock,flying,rock-head,pressure,unnerve,142,,45,purple,,False,False,False,1,flying,,False
aerodactyl-mega,aerodactyl,21,790,80,135,85,70,95,150,rock,flying,tough-claws,,,142,,45,purple,,False,False,False,1,flying,,True
snorlax,snorlax,21,4600,160,110,65,65,110,30,normal,,immunity,thick-fat,gluttony,143,,25,black,,False,False,False,1,monster,,False
snorlax-gmax,snorlax,350,10000,160,110,65,65,110,30,normal,,immunity,thick-fat,gluttony,143,,25,black,,False,False,False,1,monster,,False
articuno,articuno,17,554,90,85,100,95,125,85,ice,flying,pressure,snow-cloak,,144,,3,blue,,False,True,False,1,no-eggs,,False
articuno-galar,articuno,17,509,90,85,85,125,100,95,psychic,flying,competitive,,,144,,3,blue,,False,True,False,1,no-eggs,,False
zapdos,zapdos,16,526,90,90,85,125,90,100,electric,flying,pressure,static,,145,,3,yellow,,False,True,False,1,no-eggs,,False
zapdos-galar,zapdos,16,582,90,125,90,85,90,100,fighting,flying,defiant,,,145,,3,yellow,,False,True,False,1,no-eggs,,False
moltres,moltres,20,600,90,100,90,125,85,90,fire,flying,pressure,flame-body,,146,,3,yellow,,False,True,False,1,no-eggs,,False
moltres-galar,moltres,20,660,90,85,90,100,125,90,dark,flying,berserk,,,146,,3,yellow,,False,True,False,1,no-eggs,,False
dratini,dratini,18,33,41,64,45,50,50,50,dragon,,shed-skin,marvel-scale,,147,,45,blue,,False,False,False,1,water1,dragon,False
dragonair,dragonair,40,165,61,84,65,70,70,70,dragon,,shed-skin,marvel-scale,,148,,45,blue,,False,False,False,1,water1,dragon,False
dragonite,dragonite,22,2100,91,134,95,100,100,80,dragon,flying,inner-focus,multiscale,,149,,45,brown,,False,False,False,1,water1,dragon,False
mewtwo,mewtwo,20,1220,106,110,90,154,90,130,psychic,,pressure,unnerve,,150,,3,purple,,False,True,False,1,no-eggs,,False
mewtwo-mega-x,mewtwo,23,1270,106,190,100,154,100,130,psychic,fighting,steadfast,,,150,,3,purple,,False,True,False,1,no-eggs,,True
mewtwo-mega-y,mewtwo,15,330,106,150,70,194,120,140,psychic,,insomnia,,,150,,3,purple,,False,True,False,1,no-eggs,,True
mew,mew,4,40,100,100,100,100,100,100,psychic,,synchronize,,,151,,45,pink,,False,False,True,1,no-eggs,,False
chikorita,chikorita,9,64,45,49,65,49,65,45,grass,,overgrow,leaf-guard,,152,,45,green,,False,False,False,2,monster,plant,False
bayleef,bayleef,12,158,60,62,80,63,80,60,grass,,overgrow,leaf-guard,,153,,45,green,,False,False,False,2,monster,plant,False
meganium,meganium,18,1005,80,82,100,83,100,80,grass,,overgrow,leaf-guard,,154,,45,green,,False,False,False,2,monster,plant,False
cyndaquil,cyndaquil,5,79,39,52,43,60,50,65,fire,,blaze,flash-fire,,155,,45,yellow,,False,False,False,2,ground,,False
quilava,quilava,9,190,58,64,58,80,65,80,fire,,blaze,flash-fire,,156,,45,yellow,,False,False,False,2,ground,,False
typhlosion,typhlosion,17,795,78,84,78,109,85,100,fire,,blaze,flash-fire,,157,,45,yellow,,False,False,False,2,ground,,False
typhlosion-hisui,typhlosion,16,698,73,84,78,119,85,95,fire,ghost,blaze,frisk,,157,,45,yellow,,False,False,False,2,ground,,False
totodile,totodile,6,95,50,65,64,44,48,43,water,,torrent,sheer-force,,158,,45,blue,,False,False,False,2,monster,water1,False
croconaw,croconaw,11,250,65,80,80,59,63,58,water,,torrent,sheer-force,,159,,45,blue,,False,False,False,2,monster,water1,False
feraligatr,feraligatr,23,888,85,105,100,79,83,78,water,,torrent,sheer-force,,160,,45,blue,,False,False,False,2,monster,water1,False
sentret,sentret,8,60,35,46,34,35,45,20,normal,,run-away,keen-eye,frisk,161,,255,brown,,False,False,False,2,ground,,False
furret,furret,18,325,85,76,64,45,55,90,normal,,run-away,keen-eye,frisk,162,,90,brown,,False,False,False,2,ground,,False
hoothoot,hoothoot,7,212,60,30,30,36,56,50,normal,flying,insomnia,keen-eye,tinted-lens,163,,255,brown,,False,False,False,2,flying,,False
noctowl,noctowl,16,408,100,50,50,86,96,70,normal,flying,insomnia,keen-eye,tinted-lens,164,,90,brown,,False,False,False,2,flying,,False
ledyba,ledyba,10,108,40,20,30,40,80,55,bug,flying,swarm,early-bird,rattled,165,,255,red,,False,False,False,2,bug,,False
ledian,ledian,14,356,55,35,50,55,110,85,bug,flying,swarm,early-bird,iron-fist,166,,90,red,,False,False,False,2,bug,,False
spinarak,spinarak,5,85,40,60,40,40,40,30,bug,poison,swarm,insomnia,sniper,167,,255,green,,False,False,False,2,bug,,False
ariados,ariados,11,335,70,90,70,60,70,40,bug,poison,swarm,insomnia,sniper,168,,90,red,,False,False,False,2,bug,,False
crobat,crobat,18,750,85,90,80,70,80,130,poison,flying,inner-focus,infiltrator,,169,,90,purple,,False,False,False,2,flying,,False
chinchou,chinchou,5,120,75,38,38,56,56,67,water,electric,volt-absorb,illuminate,water-absorb,170,,190,blue,,False,False,False,2,water2,,False
lanturn,lanturn,12,225,125,58,58,76,76,67,water,electric,volt-absorb,illuminate,water-absorb,171,,75,blue,,False,False,False,2,water2,,False
pichu,pichu,3,20,20,40,15,35,35,60,electric,,static,lightning-rod,,172,,190,yellow,,True,False,False,2,no-eggs,,False
cleffa,cleffa,3,30,50,25,28,45,55,15,fairy,,cute-charm,magic-guard,friend-guard,173,,150,pink,,True,False,False,2,no-eggs,,False
igglybuff,igglybuff,3,10,90,30,15,40,20,15,normal,fairy,cute-charm,competitive,friend-guard,174,,170,pink,,True,False,False,2,no-eggs,,False
togepi,togepi,3,15,35,20,65,40,65,20,fairy,,hustle,serene-grace,super-luck,175,,190,white,,True,False,False,2,no-eggs,,False
togetic,togetic,6,32,55,40,85,80,105,40,fairy,flying,hustle,serene-grace,super-luck,176,,75,white,,False,False,False,2,flying,fairy,False
natu,natu,2,20,40,50,45,70,45,70,psychic,flying,synchronize,early-bird,magic-bounce,177,,190,green,,False,False,False,2,flying,,False
xatu,xatu,15,150,65,75,70,95,70,95,psychic,flying,synchronize,early-bird,magic-bounce,178,,75,green,,False,False,False,2,flying,,False
mareep,mareep,6,78,55,40,40,65,45,35,electric,,static,plus,,179,,235,white,,False,False,False,2,monster,ground,False
flaaffy,flaaffy,8,133,70,55,55,80,60,45,electric,,static,plus,,180,,120,pink,,False,False,False,2,monster,ground,False
ampharos,ampharos,14,615,90,75,85,115,90,55,electric,,static,plus,,181,,45,yellow,,False,False,False,2,monster,ground,False
ampharos-mega,ampharos,14,615,90,95,105,165,110,45,electric,dragon,mold-breaker,,,181,,45,yellow,,False,False,False,2,monster,ground,True
bellossom,bellossom,4,58,75,80,95,90,100,50,grass,,chlorophyll,healer,,182,,45,green,,False,False,False,2,plant,,False
marill,marill,4,85,70,20,50,20,50,40,water,fairy,thick-fat,huge-power,sap-sipper,183,,190,blue,,False,False,False,2,water1,fairy,False
azumarill,azumarill,8,285,100,50,80,60,80,50,water,fairy,thick-fat,huge-power,sap-sipper,184,,75,blue,,False,False,False,2,water1,fairy,False
sudowoodo,sudowoodo,12,380,70,100,115,30,65,30,rock,,sturdy,rock-head,rattled,185,,65,brown,,False,False,False,2,mineral,,False
politoed,politoed,11,339,90,75,75,90,100,70,water,,water-absorb,damp,drizzle,186,,45,green,,False,False,False,2,water1,,False
hoppip,hoppip,4,5,35,35,40,35,55,50,grass,flying,chlorophyll,leaf-guard,infiltrator,187,,255,pink,,False,False,False,2,fairy,plant,False
skiploom,skiploom,6,10,55,45,50,45,65,80,grass,flying,chlorophyll,leaf-guard,infiltrator,188,,120,green,,False,False,False,2,fairy,plant,False
jumpluff,jumpluff,8,30,75,55,70,55,95,110,grass,flying,chlorophyll,leaf-guard,infiltrator,189,,45,blue,,False,False,False,2,fairy,plant,False
aipom,aipom,8,115,55,70,55,40,55,85,normal,,run-away,pickup,skill-link,190,,45,purple,,False,False,False,2,ground,,False
sunkern,sunkern,3,18,30,30,30,30,30,30,grass,,chlorophyll,solar-power,early-bird,191,,235,yellow,,False,False,False,2,plant,,False
sunflora,sunflora,8,85,75,75,55,105,85,30,grass,,chlorophyll,solar-power,early-bird,192,,120,yellow,,False,False,False,2,plant,,False
yanma,yanma,12,380,65,65,45,75,45,95,bug,flying,speed-boost,compound-eyes,frisk,193,,75,red,,False,False,False,2,bug,,False
wooper,wooper,4,85,55,45,45,25,25,15,water,ground,damp,water-absorb,unaware,194,,255,blue,,False,False,False,2,water1,ground,False
wooper-paldea,wooper,4,110,55,45,45,25,25,15,poison,ground,poison-point,water-absorb,unaware,194,,255,blue,,False,False,False,2,water1,ground,False
quagsire,quagsire,14,750,95,85,85,65,65,35,water,ground,damp,water-absorb,unaware,195,,90,blue,,False,False,False,2,water1,ground,False
espeon,espeon,9,265,65,65,60,130,95,110,psychic,,synchronize,magic-bounce,,196,,45,purple,,False,False,False,2,ground,,False
umbreon,umbreon,10,270,95,65,110,60,130,65,dark,,synchronize,inner-focus,,197,,45,black,,False,False,False,2,ground,,False
murkrow,murkrow,5,21,60,85,42,85,42,91,dark,flying,insomnia,super-luck,prankster,198,,30,black,,False,False,False,2,flying,,False
slowking,slowking,20,795,95,75,80,100,110,30,water,psychic,oblivious,own-tempo,regenerator,199,,70,pink,,False,False,False,2,monster,water1,False
slowking-galar,slowking,18,795,95,65,80,110,110,30,poison,psychic,curious-medicine,own-tempo,regenerator,199,,70,pink,,False,False,False,2,monster,water1,False
misdreavus,misdreavus,7,10,60,60,60,85,85,85,ghost,,levitate,,,200,,45,gray,,False,False,False,2,indeterminate,,False
unown,unown,5,50,48,72,48,72,48,48,psychic,,levitate,,,201,,225,black,,False,False,False,2,no-eggs,,False
wobbuffet,wobbuffet,13,285,190,33,58,33,58,33,psychic,,shadow-tag,telepathy,,202,,45,blue,,False,False,False,2,indeterminate,,False
girafarig,girafarig,15,415,70,80,65,90,65,85,normal,psychic,inner-focus,early-bird,sap-sipper,203,,60,yellow,,False,False,False,2,ground,,False
pineco,pineco,6,72,50,65,90,35,35,15,bug,,sturdy,overcoat,,204,,190,gray,,False,False,False,2,bug,,False
forretress,forretress,12,1258,75,90,140,60,60,40,bug,steel,sturdy,overcoat,,205,,75,purple,,False,False,False,2,bug,,False
dunsparce,dunsparce,15,140,100,70,70,65,65,45,normal,,serene-grace,run-away,rattled,206,,190,yellow,,False,False,False,2,ground,,False
gligar,gligar,11,648,65,75,105,35,65,85,ground,flying,hyper-cutter,sand-veil,immunity,207,,60,purple,,False,False,False,2,bug,,False
steelix,steelix,92,4000,75,85,200,55,65,30,steel,ground,rock-head,sturdy,sheer-force,208,,25,gray,,False,False,False,2,mineral,,False
steelix-mega,steelix,105,7400,75,125,230,55,95,30,steel,ground,sand-force,,,208,,25,gray,,False,False,False,2,mineral,,True
snubbull,snubbull,6,78,60,80,50,40,40,30,fairy,,intimidate,run-away,rattled,209,,190,pink,,False,False,False,2,ground,fairy,False
granbull,granbull,14,487,90,120,75,60,60,45,fairy,,intimidate,quick-feet,rattled,210,,75,purple,,False,False,False,2,ground,fairy,False
qwilfish,qwilfish,5,39,65,95,85,55,55,85,water,poison,poison-point,swift-swim,intimidate,211,,45,gray,,False,False,False,2,water2,,False
qwilfish-hisui,qwilfish,5,39,65,95,85,55,55,85,dark,poison,poison-point,swift-swim,intimidate,211,,45,gray,,False,False,False,2,water2,,False
scizor,scizor,18,1180,70,130,100,55,80,65,bug,steel,swarm,technician,light-metal,212,,25,red,,False,False,False,2,bug,,False
scizor-mega,scizor,20,1250,70,150,140,65,100,75,bug,steel,technician,,,212,,25,red,,False,False,False,2,bug,,True
shuckle,shuckle,6,205,20,10,230,10,230,5,bug,rock,sturdy,gluttony,contrary,213,,190,yellow,,False,False,False,2,bug,,False
heracross,heracross,15,540,80,125,75,40,95,85,bug,fighting,swarm,guts,moxie,214,,45,blue,,False,False,False,2,bug,,False
heracross-mega,heracross,17,625,80,185,115,40,105,75,bug,fighting,skill-link,,,214,,45,blue,,False,False,False,2,bug,,True
sneasel,sneasel,9,280,55,95,55,35,75,115,dark,ice,inner-focus,keen-eye,pickpocket,215,,60,black,,False,False,False,2,ground,,False
sneasel-hisui,sneasel,9,270,55,95,55,35,75,115,fighting,poison,inner-focus,keen-eye,pickpocket,215,,60,black,,False,False,False,2,ground,,False
teddiursa,teddiursa,6,88,60,80,50,50,50,40,normal,,pickup,quick-feet,honey-gather,216,,120,brown,,False,False,False,2,ground,,False
ursaring,ursaring,18,1258,90,130,75,75,75,55,normal,,guts,quick-feet,unnerve,217,,60,brown,,False,False,False,2,ground,,False
slugma,slugma,7,350,40,40,40,70,40,20,fire,,magma-armor,flame-body,weak-armor,218,,190,red,,False,False,False,2,indeterminate,,False
magcargo,magcargo,8,550,60,50,120,90,80,30,fire,rock,magma-armor,flame-body,weak-armor,219,,75,red,,False,False,False,2,indeterminate,,False
swinub,swinub,4,65,50,50,40,30,30,50,ice,ground,oblivious,snow-cloak,thick-fat,220,,225,brown,,False,False,False,2,ground,,False
piloswine,piloswine,11,558,100,100,80,60,60,50,ice,ground,oblivious,snow-cloak,thick-fat,221,,75,brown,,False,False,False,2,ground,,False
corsola,corsola,6,50,65,55,95,65,95,35,water,rock,hustle,natural-cure,regenerator,222,,60,pink,,False,False,False,2,water1,water3,False
corsola-galar,corsola,6,5,60,55,100,65,100,30,ghost,,weak-armor,cursed-body,,222,,60,pink,,False,False,False,2,water1,water3,False
remoraid,remoraid,6,120,35,65,35,65,35,65,water,,hustle,sniper,moody,223,,190,gray,,False,False,False,2,water1,water2,False
octillery,octillery,9,285,75,105,75,105,75,45,water,,suction-cups,sniper,moody,224,,75,red,,False,False,False,2,water1,water2,False
delibird,delibird,9,160,45,55,45,65,45,75,ice,flying,vital-spirit,hustle,insomnia,225,,45,red,,False,False,False,2,water1,ground,False
mantine,mantine,21,2200,85,40,70,80,140,70,water,flying,swift-swim,water-absorb,water-veil,226,,25,purple,,False,False,False,2,water1,,False
skarmory,skarmory,17,505,65,80,140,40,70,70,steel,flying,keen-eye,sturdy,weak-armor,227,,25,gray,,False,False,False,2,flying,,False
houndour,houndour,6,108,45,60,30,80,50,65,dark,fire,early-bird,flash-fire,unnerve,228,,120,black,,False,False,False,2,ground,,False
houndoom,houndoom,14,350,75,90,50,110,80,95,dark,fire,early-bird,flash-fire,unnerve,229,,45,black,,False,False,False,2,ground,,False
houndoom-mega,houndoom,19,495,75,90,90,140,90,115,dark,fire,solar-power,,,229,,45,black,,False,False,False,2,ground,,True
kingdra,kingdra,18,1520,75,95,95,95,95,85,water,dragon,swift-swim,sniper,damp,230,,45,blue,,False,False,False,2,water1,dragon,False
phanpy,phanpy,5,335,90,60,60,40,40,40,ground,,pickup,sand-veil,,231,,120,blue,,False,False,False,2,ground,,False
donphan,donphan,11,1200,90,120,120,60,60,50,ground,,sturdy,sand-veil,,232,,60,gray,,False,False,False,2,ground,,False
porygon2,porygon2,6,325,85,80,90,105,95,60,normal,,trace,download,analytic,233,,45,red,,False,False,False,2,mineral,,False
stantler,stantler,14,712,73,95,62,85,65,85,normal,,intimidate,frisk,sap-sipper,234,,45,brown,,False,False,False,2,ground,,False
smeargle,smeargle,12,580,55,20,35,20,45,75,normal,,own-tempo,technician,moody,235,,45,white,,False,False,False,2,ground,,False
tyrogue,tyrogue,7,210,35,35,35,35,35,35,fighting,,guts,steadfast,vital-spirit,236,,75,purple,,True,False,False,2,no-eggs,,False
hitmontop,hitmontop,14,480,50,95,95,35,110,70,fighting,,intimidate,technician,steadfast,237,,45,brown,,False,False,False,2,humanshape,,False
smoochum,smoochum,4,60,45,30,15,85,65,65,ice,psychic,oblivious,forewarn,hydration,238,,45,pink,,True,False,False,2,no-eggs,,False
elekid,elekid,6,235,45,63,37,65,55,95,electric,,static,vital-spirit,,239,,45,yellow,,True,False,False,2,no-eggs,,False
magby,magby,7,214,45,75,37,70,55,83,fire,,flame-body,vital-spirit,,240,,45,red,,True,False,False,2,no-eggs,,False
miltank,miltank,12,755,95,80,105,40,70,100,normal,,thick-fat,scrappy,sap-sipper,241,,45,pink,,False,False,False,2,ground,,False
blissey,blissey,15,468,255,10,10,75,135,55,normal,,natural-cure,serene-grace,healer,242,,30,pink,,False,False,False,2,fairy,,False
raikou,raikou,19,1780,90,85,75,115,100,115,electric,,pressure,inner-focus,,243,,3,yellow,,False,True,False,2,no-eggs,,False
entei,entei,21,1980,115,115,85,90,75,100,fire,,pressure,inner-focus,,244,,3,brown,,False,True,False,2,no-eggs,,False
suicune,suicune,20,1870,100,75,115,90,115,85,water,,pressure,inner-focus,,245,,3,blue,,False,True,False,2,no-eggs,,False
larvitar,larvitar,6,720,50,64,50,45,50,41,rock,ground,guts,sand-veil,,246,,45,green,,False,False,False,2,monster,,False
pupitar,pupitar,12,1520,70,84,70,65,70,51,rock,ground,shed-skin,,,247,,45,gray,,False,False,False,2,monster,,False
tyranitar,tyranitar,20,2020,100,134,110,95,100,61,rock,dark,sand-stream,unnerve,,248,,45,green,,False,False,False,2,monster,,False
tyranitar-mega,tyranitar,25,2550,100,164,150,95,120,71,rock,dark,sand-stream,,,248,,45,green,,False,False,False,2,monster,,True
lugia,lugia,52,2160,106,90,130,90,154,110,psychic,flying,pressure,multiscale,,249,,3,white,,False,True,False,2,no-eggs,,False
ho-oh,ho-oh,38,1990,106,130,90,110,154,90,fire,flying,pressure,regenerator,,250,,3,red,,False,True,False,2,no-eggs,,False
celebi,celebi,6,50,100,100,100,100,100,100,psychic,grass,natural-cure,,,251,,45,green,,False,False,True,2,no-eggs,,False
treecko,treecko,5,50,40,45,35,65,55,70,grass,,overgrow,unburden,,252,,45,green,,False,False,False,3,monster,dragon,False
grovyle,grovyle,9,216,50,65,45,85,65,95,grass,,overgrow,unburden,,253,,45,green,,False,False,False,3,monster,dragon,False
sceptile,sceptile,17,522,70,85,65,105,85,120,grass,,overgrow,unburden,,254,,45,green,,False,False,False,3,monster,dragon,False
sceptile-mega,sceptile,19,552,70,110,75,145,85,145,grass,dragon,lightning-rod,,,254,,45,green,,False,False,False,3,monster,dragon,True
torchic,torchic,4,25,45,60,40,70,50,45,fire,,blaze,speed-boost,,255,,45,red,,False,False,False,3,ground,,False
combusken,combusken,9,195,60,85,60,85,60,55,fire,fighting,blaze,speed-boost,,256,,45,red,,False,False,False,3,ground,,False
blaziken,blaziken,19,520,80,120,70,110,70,80,fire,fighting,blaze,speed-boost,,257,,45,red,,False,False,False,3,ground,,False
blaziken-mega,blaziken,19,520,80,160,80,130,80,100,fire,fighting,speed-boost,,,257,,45,red,,False,False,False,3,ground,,True
mudkip,mudkip,4,76,50,70,50,50,50,40,water,,torrent,damp,,258,,45,blue,,False,False,False,3,monster,water1,False
marshtomp,marshtomp,7,280,70,85,70,60,70,50,water,ground,torrent,damp,,259,,45,blue,,False,False,False,3,monster,water1,False
swampert,swampert,15,819,100,110,90,85,90,60,water,ground,torrent,damp,,260,,45,blue,,False,False,False,3,monster,water1,False
swampert-mega,swampert,19,1020,100,150,110,95,110,70,water,ground,swift-swim,,,260,,45,blue,,False,False,False,3,monster,water1,True
poochyena,poochyena,5,136,35,55,35,30,30,35,dark,,run-away,quick-feet,rattled,261,,255,gray,,False,False,False,3,ground,,False
mightyena,mightyena,10,370,70,90,70,60,60,70,dark,,intimidate,quick-feet,moxie,262,,127,gray,,False,False,False,3,ground,,False
zigzagoon,zigzagoon,4,175,38,30,41,30,41,60,normal,,pickup,gluttony,quick-feet,263,,255,brown,,False,False,False,3,ground,,False
zigzagoon-galar,zigzagoon,4,175,38,30,41,30,41,60,dark,normal,pickup,gluttony,quick-feet,263,,255,brown,,False,False,False,3,ground,,False
linoone,linoone,5,325,78,70,61,50,61,100,normal,,pickup,gluttony,quick-feet,264,,90,white,,False,False,False,3,ground,,False
linoone-galar,linoone,5,325,78,70,61,50,61,100,dark,normal,pickup,gluttony,quick-feet,264,,90,white,,False,False,False,3,ground,,False
wurmple,wurmple,3,36,45,45,35,20,30,20,bug,,shield-dust,run-away,,265,,255,red,,False,False,False,3,bug,,False
silcoon,silcoon,6,100,50,35,55,25,25,15,bug,,shed-skin,,,266,,120,white,,False,False,False,3,bug,,False
beautifly,beautifly,10,284,60,70,50,100,50,65,bug,flying,swarm,rivalry,,267,,45,yellow,,False,False,False,3,bug,,False
cascoon,cascoon,7,115,50,35,55,25,25,15,bug,,shed-skin,,,268,,120,purple,,False,False,False,3,bug,,False
dustox,dustox,12,316,60,50,70,50,90,65,bug,poison,shield-dust,compound-eyes,,269,,45,green,,False,False,False,3,bug,,False
lotad,lotad,5,26,40,30,30,40,50,30,water,grass,swift-swim,rain-dish,own-tempo,270,,255,green,,False,False,False,3,water1,plant,False
lombre,lombre,12,325,60,50,50,60,70,50,water,grass,swift-swim,rain-dish,own-tempo,271,,120,green,,False,False,False,3,water1,plant,False
ludicolo,ludicolo,15,550,80,70,70,90,100,70,water,grass,swift-swim,rain-dish,own-tempo,272,,45,green,,False,False,False,3,water1,plant,False
seedot,seedot,5,40,40,40,50,30,30,30,grass,,chlorophyll,early-bird,pickpocket,273,,255,brown,,False,False,False,3,ground,plant,False
nuzleaf,nuzleaf,10,280,70,70,40,60,40,60,grass,dark,chlorophyll,early-bird,pickpocket,274,,120,brown,,False,False,False,3,ground,plant,False
shiftry,shiftry,13,596,90,100,60,90,60,80,grass,dark,chlorophyll,wind-rider,pickpocket,275,,45,brown,,False,False,False,3,ground,plant,False
taillow,taillow,3,23,40,55,30,30,30,85,normal,flying,guts,scrappy,,276,,200,blue,,False,False,False,3,flying,,False
swellow,swellow,7,198,60,85,60,75,50,125,normal,flying,guts,scrappy,,277,,45,blue,,False,False,False,3,flying,,False
wingull,wingull,6,95,40,30,30,55,30,85,water,flying,keen-eye,hydration,rain-dish,278,,190,white,,False,False,False,3,water1,flying,False
pelipper,pelipper,12,280,60,50,100,95,70,65,water,flying,keen-eye,drizzle,rain-dish,279,,45,yellow,,False,False,False,3,water1,flying,False
ralts,ralts,4,66,28,25,25,45,35,40,psychic,fairy,synchronize,trace,telepathy,280,,235,white,,False,False,False,3,humanshape,indeterminate,False
kirlia,kirlia,8,202,38,35,35,65,55,50,psychic,fairy,synchronize,trace,telepathy,281,,120,white,,False,False,False,3,humanshape,indeterminate,False
gardevoir,gardevoir,16,484,68,65,65,125,115,80,psychic,fairy,synchronize,trace,telepathy,282,,45,white,,False,False,False,3,humanshape,indeterminate,False
gardevoir-mega,gardevoir,16,484,68,85,65,165,135,100,psychic,fairy,pixilate,,,282,,45,white,,False,False,False,3,humanshape,indeterminate,True
surskit,surskit,5,17,40,30,32,50,52,65,bug,water,swift-swim,rain-dish,,283,,200,blue,,False,False,False,3,water1,bug,False
masquerain,masquerain,8,36,70,60,62,100,82,80,bug,flying,intimidate,unnerve,,284,,75,blue,,False,False,False,3,water1,bug,False
shroomish,shroomish,4,45,60,40,60,40,60,35,grass,,effect-spore,poison-heal,quick-feet,285,,255,brown,,False,False,False,3,fairy,plant,False
breloom,breloom,12,392,60,130,80,60,60,70,grass,fighting,effect-spore,poison-heal,technician,286,,90,green,,False,False,False,3,fairy,plant,False
slakoth,slakoth,8,240,60,60,60,35,35,30,normal,,truant,,,287,,255,brown,,False,False,False,3,ground,,False
vigoroth,vigoroth,14,465,80,80,80,55,55,90,normal,,vital-spirit,,,288,,120,white,,False,False,False,3,ground,,False
slaking,slaking,20,1305,150,160,100,95,65,100,normal,,truant,,,289,,45,brown,,False,False,False,3,ground,,False
nincada,nincada,5,55,31,45,90,30,30,40,bug,ground,compound-eyes,run-away,,290,,255,gray,,False,False,False,3,bug,,False
ninjask,ninjask,8,120,61,90,45,50,50,160,bug,flying,speed-boost,infiltrator,,291,,120,yellow,,False,False,False,3,bug,,False
shedinja,shedinja,8,12,1,90,45,30,30,40,bug,ghost,wonder-guard,,,292,,45,brown,,False,False,False,3,mineral,,False
whismur,whismur,6,163,64,51,23,51,23,28,normal,,soundproof,rattled,,293,,190,pink,,False,False,False,3,monster,ground,False
loudred,loudred,10,405,84,71,43,71,43,48,normal,,soundproof,scrappy,,294,,120,blue,,False,False,False,3,monster,ground,False
exploud,exploud,15,840,104,91,63,91,73,68,normal,,soundproof,scrappy,,295,,45,blue,,False,False,False,3,monster,ground,False
makuhita,makuhita,10,864,72,60,30,20,30,25,fighting,,thick-fat,guts,sheer-force,296,,180,yellow,,False,False,False,3,humanshape,,False
hariyama,hariyama,23,2538,144,120,60,40,60,50,fighting,,thick-fat,guts,sheer-force,297,,200,brown,,False,False,False,3,humanshape,,False
azurill,azurill,2,20,50,20,40,20,40,20,normal,fairy,thick-fat,huge-power,sap-sipper,298,,150,blue,,True,False,False,3,no-eggs,,False
nosepass,nosepass,10,970,30,45,135,45,90,30,rock,,sturdy,magnet-pull,sand-force,299,,255,gray,,False,False,False,3,mineral,,False
